rid,aircraft,airport,model,impact,flight_date,damage,airline,origin,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag
202152,Airplane,LAGUARDIA NY,B-737-400,Engine Shut Down,11/23/2000 0:00,Damage,US AIRWAYS,New York,Climb,Medium,No Cloud,N,"1,500",Yes
208159,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/25/2001 0:00,Damage,AMERICAN AIRLINES,Texas,Landing Roll,Small,Some Cloud,Y,0,No
207601,Airplane,LAKEFRONT AIRPORT,C-500,None,9/14/2001 0:00,No damage,BUSINESS,Louisiana,Approach,Small,No Cloud,N,50,No
215953,Airplane,SEATTLE-TACOMA INTL,B-737-400,Precautionary Landing,9/5/2002 0:00,No damage,ALASKA AIRLINES,Washington,Climb,Small,Some Cloud,Y,50,Yes
219878,Airplane,NORFOLK INTL,CL-RJ100/200,None,6/23/2003 0:00,No damage,COMAIR AIRLINES,Virginia,Approach,Small,No Cloud,N,50,No
218432,Airplane,GUAYAQUIL/S BOLIVAR,A-300,None,7/24/2003 0:00,No damage,AMERICAN AIRLINES,N/A,Take-off run,Small,No Cloud,N,0,No
221697,Airplane,NEW CASTLE COUNTY,LEARJET-25,Other,8/17/2003 0:00,Damage,BUSINESS,Delaware,Climb,Small,No Cloud,N,150,No
236635,Airplane,WASHINGTON DULLES INTL ARPT,A-320,Other,3/1/2006 0:00,Damage,UNITED AIRLINES,DC,Approach,Small,Some Cloud,Y,100,No
207369,Airplane,ATLANTA INTL,DC-9-30,Aborted Take-off,1/6/2000 0:00,No damage,AIRTRAN AIRWAYS,Georgia,Take-off run,Small,Some Cloud,N,0,No
204371,Airplane,ORLANDO SANFORD INTL AIRPORT,A-330,None,1/7/2000 0:00,No damage,AIRTOURS INTL,Florida,Landing Roll,Small,Some Cloud,N,0,No
201589,Airplane,ONTARIO INTL ARPT,A-320,None,1/8/2000 0:00,No damage,AMERICA WEST AIRLINES,California,Approach,Small,Some Cloud,N,200,No
205958,Airplane,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,1/20/2000 0:00,Damage,AMERICAN AIRLINES,Illinois,Approach,Large,No Cloud,N,"1,700",No
200220,Airplane,GROTON-NEW LONDON AR,C-421,None,1/30/2000 0:00,No damage,BUSINESS,Connecticut,Landing Roll,Small,Overcast,N,0,No
200219,Airplane,SPIRIT OF ST LOUIS,C-560,None,1/30/2000 0:00,No damage,EXECUTIVE JET AVIATION,Missouri,Approach,Small,Overcast,N,"1,800",No
203756,Airplane,THEODORE FRANCIS GREEN STATE,B-737-200,None,1/30/2000 0:00,No damage,US AIRWAYS,Rhode Island,Approach,Small,No Cloud,N,50,Yes
204061,Airplane,KANSAS CITY INTL,MD-80,None,2/1/2000 0:00,No damage,TRANS WORLD AIRLINES,Missouri,Approach,Large,Some Cloud,Y,500,No
